web-scraper-order,web-scraper-start-url,nama_produk,diskon_produk,harga_produk
"1696863373-1","https://www.klikindomaret.com/category/sarapan","Puck Cream Cheese Spread 140G","68%
Rp 30.900","Rp 10.000"
"1696863373-2","https://www.klikindomaret.com/category/sarapan","Madu Enak Manuka Honey 250G","44%
Rp 56.600","Rp 31.600"
"1696863373-3","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Corn Flakes Classic 150G","34%
Rp 23.700","Rp 15.700"
"1696863373-4","https://www.klikindomaret.com/category/sarapan","Quaker Minuman Sereal 3 In 1 Cokelat 8X28G","34%
Rp 26.900","Rp 17.800"
"1696863373-5","https://www.klikindomaret.com/category/sarapan","Quaker Minuman Sereal 3 In 1 Vanilla 8X28G","34%
Rp 26.900","Rp 17.800"
"1696863373-6","https://www.klikindomaret.com/category/sarapan","Quaker Oatmeal Instant Merah 800G","33%
Rp 49.500","Rp 33.000"
"1696863373-7","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Froot Loops 150G","31%
Rp 25.900","Rp 17.900"
"1696863373-8","https://www.klikindomaret.com/category/sarapan","Bella Spread Choco Cashew 300G","24%
Rp 28.900","Rp 21.900"
"1696863373-9","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Combo Pack Koko Krunch 32G","18%
Rp 9.200","Rp 7.500"
"1696863373-10","https://www.klikindomaret.com/category/sarapan","Indomaret Jam Pineapple 170G","17%
Rp 13.200","Rp 11.000"
"1696863373-11","https://www.klikindomaret.com/category/sarapan","Ceres Choco Spread Choco Hazelnut 200G","15%
Rp 31.700","Rp 26.900"
"1696863373-12","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Cokelat 55G","15%
Rp 9.400","Rp 8.000"
"1696863373-13","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Strawberry 55G","15%
Rp 9.400","Rp 8.000"
"1696863373-14","https://www.klikindomaret.com/category/sarapan","Indomaret Jam Strawberry 170G","14%
Rp 15.100","Rp 13.000"
"1696863373-15","https://www.klikindomaret.com/category/sarapan","Indomaret Coklat Meises 225g","13%
Rp 11.500","Rp 10.000"
"1696863373-16","https://www.klikindomaret.com/category/sarapan","Flora Madu Tropis 350Ml","13%
Rp 57.700","Rp 50.200"
"1696863373-17","https://www.klikindomaret.com/category/sarapan","Arnon Roti Manis 5'S Cream Messes 200G","12%
Rp 16.000","Rp 14.000"
"1696863373-18","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Duo Banana Koko Krunch 150G","11%
Rp 26.500","Rp 23.500"
"1696863373-19","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Trix Honey Stars 150G","10%
Rp 22.200","Rp 19.900"
"1696863373-20","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar Tebal","9%
Rp 17.500","Rp 16.000"
"1696863373-21","https://www.klikindomaret.com/category/sarapan","Morin Jam Peanut Butter 150G","8%
Rp 24.900","Rp 22.900"
"1696863373-22","https://www.klikindomaret.com/category/sarapan","Indomaret Spread Chocolate 160G","8%
Rp 17.000","Rp 15.700"
"1696863373-23","https://www.klikindomaret.com/category/sarapan","Indomaret Madu Asli 250G","5%
Rp 37.900","Rp 35.900"
"1696863373-24","https://www.klikindomaret.com/category/sarapan","5 Days Croissant Cheese 60G","","Rp 7.000"
"1696863373-25","https://www.klikindomaret.com/category/sarapan","5 Days Croissant Pandan Srikaya 60G","","Rp 7.000"
"1696863373-26","https://www.klikindomaret.com/category/sarapan","Air Mancur Madurasa Murni 150G","","Rp 22.000"
"1696863373-27","https://www.klikindomaret.com/category/sarapan","Air Mancur Madurasa Original 150G","","Rp 15.200"
"1696863373-28","https://www.klikindomaret.com/category/sarapan","Al Shifa Natural Honey 250G","","Rp 65.200"
"1696863373-29","https://www.klikindomaret.com/category/sarapan","Arnon Roti Kasur 180G","","Rp 11.000"
"1696863373-30","https://www.klikindomaret.com/category/sarapan","Arnon Roti Manis Choco Roll","","Rp 7.000"
"1696863373-31","https://www.klikindomaret.com/category/sarapan","Arnon Roti Manis Cream Meises 40G","","Rp 4.000"
"1696863373-32","https://www.klikindomaret.com/category/sarapan","Budy Jam Pindekas 120G","","Rp 16.400"
"1696863373-33","https://www.klikindomaret.com/category/sarapan","Budy Jam Selai Coklat 150G","","Rp 12.200"
"1696863373-34","https://www.klikindomaret.com/category/sarapan","Budy Jam Strawberry 150G","","Rp 9.800"
"1696863373-35","https://www.klikindomaret.com/category/sarapan","Ceres Choco Spread Double Hazelnut 350G","","Rp 46.500"
"1696863373-36","https://www.klikindomaret.com/category/sarapan","Ceres Choco Spread Duo Milk Hazelnut 350G","","Rp 46.500"
"1696863373-37","https://www.klikindomaret.com/category/sarapan","Ceres Hagelslag Rice Choco Classic 200G","","Rp 22.500"
"1696863373-38","https://www.klikindomaret.com/category/sarapan","Ceres Hagelslag Rice Choco Classic 80G","","Rp 10.000"
"1696863373-39","https://www.klikindomaret.com/category/sarapan","Ceres Hagelslag Rice Choco Festive 80G","","Rp 10.000"
"1696863373-40","https://www.klikindomaret.com/category/sarapan","Diabetamil Sweetener 50G","","Rp 27.500"
"1696863373-41","https://www.klikindomaret.com/category/sarapan","Diabetasol Zero Calorie Sweetener 100X1g","","Rp 76.600"
"1696863373-42","https://www.klikindomaret.com/category/sarapan","Diabetasol Zero Calorie Sweetener 50'S 50X1g","","Rp 42.300"
"1696863373-43","https://www.klikindomaret.com/category/sarapan","Energen Cereal & Susu Instant Vanilla 5X32G","","Rp 11.000"
"1696863373-44","https://www.klikindomaret.com/category/sarapan","Energen Cereal Instant Kacang Hijau 10X35G","","Rp 23.200"
"1696863373-45","https://www.klikindomaret.com/category/sarapan","Energen Sereal & Susu Cokelat 10X34g","","Rp 23.200"
"1696863373-46","https://www.klikindomaret.com/category/sarapan","Energen Sereal & Susu Cokelat 5X34g","","Rp 11.000"
"1696863373-47","https://www.klikindomaret.com/category/sarapan","Energen Sereal & Susu Vanila 10X32g","","Rp 23.200"
"1696863373-48","https://www.klikindomaret.com/category/sarapan","Fitbar Chocolate Fitbar 22G","","Rp 5.300"
"1696863373-49","https://www.klikindomaret.com/category/sarapan","Fitbar Fruit Fitbar Kismis Raspbery 22G","","Rp 5.300"
"1696863373-50","https://www.klikindomaret.com/category/sarapan","Fitbar Tiramisu Fitbar 22G","","Rp 5.300"
"1696863373-51","https://www.klikindomaret.com/category/sarapan","Goldenfil Spread Choco Crunchy 350g","","Rp 33.300"
"1696863373-52","https://www.klikindomaret.com/category/sarapan","Indomaret Chocolate Meises 90G","","Rp 4.900"
"1696863373-53","https://www.klikindomaret.com/category/sarapan","Indomaret Coklat Meises Mix 90G","","Rp 4.900"
"1696863373-54","https://www.klikindomaret.com/category/sarapan","L'agie Choco Chips 45G","","Rp 4.400"
"1696863373-55","https://www.klikindomaret.com/category/sarapan","L'agie Hegel-Slag Safari Polos 100G","","Rp 6.100"
"1696863373-56","https://www.klikindomaret.com/category/sarapan","L-Men Crunchy Chocolate Bar 25G","","Rp 10.500"
"1696863373-57","https://www.klikindomaret.com/category/sarapan","Mariza Jam Srikaya 350G","","Rp 33.500"
"1696863373-58","https://www.klikindomaret.com/category/sarapan","Mariza Strawberry Jam 170G","","Rp 18.500"
"1696863373-59","https://www.klikindomaret.com/category/sarapan","Milo Cereal Balls Coklat 70G","","Rp 11.500"
"1696863373-60","https://www.klikindomaret.com/category/sarapan","Milo Cereal Balls Combo Pack Coklat 32G","","Rp 9.000"
"1696863373-61","https://www.klikindomaret.com/category/sarapan","Milo Sereal Bar Cokelat 23.5G","","Rp 7.800"
"1696863373-62","https://www.klikindomaret.com/category/sarapan","Morin Jam Blueberry 170G","","Rp 28.200"
"1696863373-63","https://www.klikindomaret.com/category/sarapan","Morin Jam Choco Peanut 150G","","Rp 23.000"
"1696863373-64","https://www.klikindomaret.com/category/sarapan","Morin Jam Hazelnut With Cocoa 150G","","Rp 26.600"
"1696863373-65","https://www.klikindomaret.com/category/sarapan","Morin Jam Strawberry 170G","","Rp 22.500"
"1696863373-66","https://www.klikindomaret.com/category/sarapan","Morin Kaya Spread 170G","","Rp 19.500"
"1696863373-67","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Kasur","","Rp 15.000"
"1696863373-68","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Manis Isi Coklat Keju","","Rp 6.500"
"1696863373-69","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Manis Sobek Keju","","Rp 15.000"
"1696863373-70","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar","","Rp 15.500"
"1696863373-71","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar 4'S Choco Chips","","Rp 10.000"
"1696863373-72","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar Gandum Multiseed","","Rp 18.500"
"1696863373-73","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar Kupas","","Rp 16.500"
"1696863373-74","https://www.klikindomaret.com/category/sarapan","Mustika Ratu Slimming Tea 30'S","","Rp 47.000"
"1696863373-75","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Combo Onpack Koko Krunch 2X32G","","Rp 14.100"
"1696863373-76","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Combo Pack Honey Stars 32G","","Rp 9.000"
"1696863373-77","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Double Choco Koko Krunch 30G","","Rp 9.000"
"1696863373-78","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Honey Stars 70G","","Rp 12.500"
"1696863373-79","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Koko Krunch 150g","","Rp 22.900"
"1696863373-80","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Koko Krunch 300g","","Rp 41.900"
"1696863373-81","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Koko Krunch 70G","","Rp 9.500"
"1696863373-82","https://www.klikindomaret.com/category/sarapan","Nestle Koko Krunch Cereal Bar Coklat 25G","","Rp 7.800"
"1696863373-83","https://www.klikindomaret.com/category/sarapan","Nusantara Madu Murni 250Ml","","Rp 67.900"
"1696863373-84","https://www.klikindomaret.com/category/sarapan","Nusantara Madu Royal Jelly & Bee Pollen 250Ml","","Rp 80.100"
"1696863373-85","https://www.klikindomaret.com/category/sarapan","Nutella Jam Spread Kecil Hazelnut 200G","","Rp 42.500"
"1696863373-86","https://www.klikindomaret.com/category/sarapan","Ovomaltine Crunchy Cream 230G","","Rp 59.700"
"1696863373-87","https://www.klikindomaret.com/category/sarapan","Prime Bread Duo Custard Pisang & Cokelat","","Rp 5.000"
"1696863373-88","https://www.klikindomaret.com/category/sarapan","Prime Bread Duo Mentega Gula & Chocochip","","Rp 5.000"
"1696863373-89","https://www.klikindomaret.com/category/sarapan","Prime Bread Prime Choco Isi Krim Cokelat 50G","","Rp 5.500"
"1696863373-90","https://www.klikindomaret.com/category/sarapan","Prime Bread Prime Choco Isi Krim Tiramisu 50G","","Rp 5.500"
"1696863373-91","https://www.klikindomaret.com/category/sarapan","Prime Bread Prime Choco Isi Krim Vanilla 50G","","Rp 5.500"
"1696863373-92","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Cokelat","","Rp 4.500"
"1696863373-93","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Jagung Manis","","Rp 4.500"
"1696863373-94","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Keju","","Rp 4.500"
"1696863373-95","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Moka","","Rp 4.500"
"1696863373-96","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Vanila","","Rp 4.500"
"1696863373-97","https://www.klikindomaret.com/category/sarapan","Quaker Instant Oatmeal (Reff) Merah 200G","","Rp 14.000"
"1696863373-98","https://www.klikindomaret.com/category/sarapan","Sari Kue International Cake Brownies 54G","","Rp 12.500"
"1696863373-99","https://www.klikindomaret.com/category/sarapan","Sari Kue International Cake Red Velvet 54G","","Rp 15.500"
"1696863373-100","https://www.klikindomaret.com/category/sarapan","Sari Kue International Cake Triple Choco 54G","","Rp 13.500"
"1696863373-101","https://www.klikindomaret.com/category/sarapan","Sari Roti Dorayaki Coklat 55G","","Rp 6.000"
"1696863373-102","https://www.klikindomaret.com/category/sarapan","Sari Roti Lapis Bamkuhen","","Rp 10.000"
"1696863373-103","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Isi Coklat","","Rp 5.000"
"1696863373-104","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Isi Coklat Keju 72G","","Rp 5.000"
"1696863373-105","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Isi Krim Coklat","","Rp 6.000"
"1696863373-106","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Isi Krim Keju 72G","","Rp 6.000"
"1696863373-107","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Isi Krim Mocca","","Rp 6.000"
"1696863373-108","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Kasur Keju 180G","","Rp 13.000"
"1696863373-109","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Sobek Duo Cokelat Coklat 114G","","Rp 10.000"
"1696863373-110","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Sobek Duo Cokelat Keju 107G","","Rp 10.500"
"1696863373-111","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Sobek Duo Cokelat Srikaya 108G","","Rp 10.500"
"1696863373-112","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Double Soft","","Rp 20.000"
"1696863373-113","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Double Soft Premium","","Rp 24.000"
"1696863373-114","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Gandum","","Rp 22.000"
"1696863373-115","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Jumbo Special","","Rp 18.000"
"1696863373-116","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Kupas Extra Kalsium 200G","","Rp 17.500"
"1696863373-117","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Milky Soft","","Rp 13.000"
"1696863373-118","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Pandan","","Rp 16.500"
"1696863373-119","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Special","","Rp 15.000"
"1696863373-120","https://www.klikindomaret.com/category/sarapan","Sharon Dora Yaki Chocolate 65G","","Rp 6.000"
"1696863373-121","https://www.klikindomaret.com/category/sarapan","Sharon Roombutter Cheese 200G","","Rp 17.000"
"1696863373-122","https://www.klikindomaret.com/category/sarapan","Sharon Roti Manis Creme Messes 200G","","Rp 16.000"
"1696863373-123","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips + Kalsium Susu Coklat 37G","","Rp 7.800"
"1696863373-124","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips + Kalsium Susu Putih 37G","","Rp 7.800"
"1696863373-125","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Coklat 170G","","Rp 21.800"
"1696863373-126","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Strawberry 37G","","Rp 7.800"
"1696863373-127","https://www.klikindomaret.com/category/sarapan","Skippy Jam Chunky Peanut Butter 170G","","Rp 27.000"
"1696863373-128","https://www.klikindomaret.com/category/sarapan","Skippy Jam Creamy Peanut Butter 170G","","Rp 27.000"
"1696863373-129","https://www.klikindomaret.com/category/sarapan","Soyjoy Danish Cheese 28G","","Rp 9.600"
"1696863373-130","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Coklat Almond 30G","","Rp 9.600"
"1696863373-131","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Raisin Almond 30G","","Rp 9.600"
"1696863373-132","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Strawberry 30G","","Rp 9.600"
"1696863373-133","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Kurma Tj 150G","","Rp 22.300"
"1696863373-134","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Tj Masuk Angin 140G","","Rp 20.900"
"1696863373-135","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Tj Murni 150G","","Rp 22.300"
"1696863373-136","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Tj Murni 500G","","Rp 61.500"
"1696863373-137","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener 50X2.5G","","Rp 50.300"
"1696863373-138","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener No Calori Diabetics 50X2g","","Rp 50.700"
"1696863373-139","https://www.klikindomaret.com/category/sarapan","Wrp Meal Replacement Cokelat 324G","","Rp 166.000"
"1696863373-140","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Tropical Cranberries 30G","","Rp 9.600"
"1696863373-141","https://www.klikindomaret.com/category/sarapan","Uray Madu Stick 10X12G","","Rp 32.000"
